,CG,VE,CM,GZ,TC,CZ,CA,CY
70,0.0,0.0,1235560.1642843105,0.0,83333.33333333333,0.0,325178.4231660179,58125.0
71,0.0,0.0,77634.5234326345,1145132.8748358306,83333.33333333333,0.0,321460.52553440747,58125.0
72,0.0,0.0,0.0,1210083.0549495951,83333.33333333333,0.0,317774.1382491755,58125.0
73,0.0,0.0,0.0,1197506.2577991034,83333.33333333333,0.0,314119.00656919787,58125.0
74,0.0,0.0,0.0,1185036.137243282,83333.33333333333,0.0,310494.87777461525,58125.0
75,0.0,0.0,0.0,1172671.830608554,83333.33333333333,0.0,306901.50115091854,58125.0
76,0.0,0.0,0.0,1160412.4820671438,83333.33333333333,0.0,303338.62797316,58125.0
77,0.0,0.0,0.0,1148257.2425831766,83333.33333333333,0.0,299806.01149028813,58125.0
78,0.0,0.0,0.0,1136205.2698592006,83333.33333333333,0.0,296303.4069096054,58125.0
79,0.0,0.0,0.0,1124255.7282831266,83333.33333333333,0.0,292830.5713813476,58125.0
80,0.0,0.0,0.0,1112407.7888755847,83333.33333333333,0.0,289387.2639833852,58125.0
81,0.0,0.0,0.0,1100660.6292376972,83333.33333333333,0.0,285973.24570604356,58125.0
82,0.0,0.0,0.0,1089013.4334992561,83333.33333333333,0.0,282588.279437043,58125.0
83,0.0,0.0,0.0,1077465.3922673117,83333.33333333333,0.0,279232.12994655705,58125.0
84,0.0,0.0,0.0,1066015.7025751637,83333.33333333333,0.0,275904.5638723879,58125.0
85,0.0,0.0,0.0,1054663.5678317507,83333.33333333333,0.0,272605.34970525786,58125.0
86,0.0,0.0,0.0,1043408.1977714393,83333.33333333333,0.0,269334.25777421665,58125.0
87,0.0,0.0,0.0,1032248.8084042063,83333.33333333333,0.0,266091.06023216323,58125.0
88,0.0,0.0,0.0,1021184.6219662103,83333.33333333333,0.0,262875.5310414808,58125.0
89,0.0,0.0,0.0,1010214.8668707552,83333.33333333333,0.0,259687.4459597852,58125.0
90,0.0,0.0,0.0,999338.7776596344,83333.33333333333,0.0,256526.58252578476,58125.0
91,0.0,0.0,0.0,988555.5949548599,83333.33333333333,0.0,253392.72004525113,58125.0
92,0.0,0.0,0.0,977864.5654107679,83333.33333333333,0.0,250285.63957710034,58125.0
93,0.0,0.0,0.0,967264.9416665023,83333.33333333333,0.0,247205.12391958307,58125.0
94,0.0,0.0,0.0,956755.9822988707,83333.33333333333,0.0,244150.95759658358,58125.0
95,0.0,0.0,0.0,946336.9517755685,83333.33333333333,0.0,241122.92684402538,58125.0
